Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
BLK,Lulu Optical,Female,L799 BLK 90,Lulu Optical L799 BLK 90,764724859411,Unassigned
BUR,Lulu Optical,Female,L799 BUR 53,Lulu Optical L799 BUR 53,764724850869,53
ROS,Lulu Optical,Female,L799 ROS 53,Lulu Optical L799 ROS 53,764724850876,53
,Lulu Optical,Female,L812 BLK 50,Lulu Optical  L812 BLK 50,764724146498,
,Lulu Optical,,L812 BUR 50,Lulu Optical  L812 BUR 50,764724146511,
,Lulu Optical,Female,L812 TOR 50,Lulu Optical  L812 TOR 50,764724146504,
BRN,Lulu Optical,Female,L827 BRN 52,Lulu Optical L827 BRN 52,764724152758,52
CIN,Lulu Optical,Female,L829 CIN 52,Lulu Optical L829 CIN 52,764724160258,52
RED,Lulu Optical,Female,L829 RED 52,Lulu Optical L829 RED 52,764724160272,52
BRN,Lulu Optical,Female,L831 BRN 51,Lulu Optical L831 BRN 51,764724160296,51
MID,Lulu Optical,Female,L831 MID 51,Lulu Optical L831 MID 51,764724160289,51
ROS,Lulu Optical,Female,L831 ROS 51,Lulu Optical L831 ROS 51,764724160302,51
BRN,Lulu Optical,Female,L832 BRN 52,Lulu Optical L832 BRN 52,764724248352,52
RED,Lulu Optical,Female,L832 RED 52,Lulu Optical L832 RED 52,764724248345,52
PUR,Lulu Optical,Female,L833 PUR 52,Lulu Optical L833 PUR 52,764724253547,52
BLK,Lulu Optical,Female,L834 BLK 51,Lulu Optical L834 BLK 51,764724255589,51
RED,Lulu Optical,Female,L834 RED 51,Lulu Optical L834 RED 51,764724255619,51
TOR,Lulu Optical,Female,L834 TOR 51,Lulu Optical L834 TOR 51,764724255596,51
BLK,Lulu Optical,Female,L835 BLK 52,Lulu Optical L835 BLK 52,764724251697,52
PUR,Lulu Optical,Female,L835 PUR 52,Lulu Optical L835 PUR 52,764724251673,52
RED,Lulu Optical,Female,L835 RED 52,Lulu Optical L835 RED 52,764724251680,52
TOR,Lulu Optical,Female,L835 TOR 52,Lulu Optical L835 TOR 52,764724251703,52
BLK,Lulu Optical,Female,L836 BLK 52,Lulu Optical L836 BLK 52,764724276461,52
RED,Lulu Optical,Female,L836 RED 52,Lulu Optical L836 RED 52,764724276447,52
TOR,Lulu Optical,Female,L836 TOR 52,Lulu Optical L836 TOR 52,764724276454,52
DEM,Lulu Optical,Female,L837 DEM 51,Lulu Optical L837 DEM 51,764724276324,51
